,HistGradientBoosting,CNN (Raw Board),Difference (CNN - HGB)
precision,0.7768076284374446,0.8578273505616213,0.08101972212417674
recall,0.8815260806182073,0.9060599954961895,0.024533914877982288
f1,0.8258605374194982,0.881284223874575,0.05542368645507678
roc_auc,0.864299221933281,0.9334772798302656,0.06917805789698461
