,precision,recall,f1,roc_auc
HistGradientBoosting,0.7768076284374446,0.8815260806182073,0.8258605374194982,0.864299221933281
MLP,0.7768341713817827,0.8770815308214713,0.823919747931906,0.8627828795181245
